table_name,metric_scope,project_key,metric_name,metric_value,aggregation,source_table,sample_size,notes
summary_205E_project_comments,project_q1,mpieniak01/Venom,avg_comments_closed_daily_q1,10.5043,avg,src_205E_daily,58,
summary_205E_project_comments,project_q1,mpieniak01/Venom,avg_comments_merged_daily_q1,10.6988,avg,src_205E_daily,58,
summary_205E_project_comments,project_q1,mpieniak01/Venom,median_comments_closed_daily_q1,7.0,median,src_205E_daily,58,
summary_chart_sources_check,chart_source_check,,C_205B_LOC_TREND_01,,ok,wrk_205B_venom,,
summary_chart_sources_check,chart_source_check,,C_205B_ISSUES_DEBT_01,,ok,wrk_205B_venom,,
summary_chart_sources_check,chart_source_check,,C_205D_PR_FLOW_01,,ok,wrk_205D_venom,,
summary_chart_sources_check,chart_source_check,,C_205D_MEDIAN_LEAD_01,,ok,wrk_205D_repo_summary,,
summary_chart_sources_check,chart_source_check,,C_205D_BACKLOG_01,,ok,wrk_205D_repo_summary,,
summary_chart_sources_check,chart_source_check,,C_205E_COMMENTS_TREND_01,,ok,wrk_205E_comments_daily,,
summary_chart_sources_check,chart_source_check,,C_205B_205C_BENCHMARK_01,,ok,wrk_summary_benchmark,,
summary_meta,provenance,,generated_at_utc,2026-04-27T15:25:38Z,value,205F_sources_pack_v01.json,,205F_chart_spec_v01.json
